skill_name,skill_tag_code
Database  - DynamoDB,701
Database  - RDS,702
Database - Aurora,698
Database - MariaDB,722
Database - Redshift,703
Database - SQL Edge,723
Database - Table Storage,724
Databases,637
Databases,747
DatoCMS,443
Davinci Resolve,318
Debt Collection,30473
Decision Making,24372
Denial Management,37647
Dental Billing,39875
Dental Insurance,360
Descript,25995
Design,265
Design Ops,298
Design Strategy,297
Design Thinking,292
Dev Tools -  CodeGuru,683
Dev Tools - Cloud Control API,685
Dev Tools - Cloud Development Kit,686
Dev Tools - CodeCommit,688
Dev Tools - CodeDeploy,687
Dev Tools - Corretto,684
Dev Tools - Load Testing,718
Dev Tools - Microsoft Dev Box,717
Dev Tools - Pipelines,715
Dev Tools - Visual Studio,716
Developer tools,748
Devops,605
DevOps - Artifacts,719
DevOps - Azure Monitor,720
DevOps - Deployment Environments,721
Dialux,27856
Digital Marketing,26551
Direct Mail Marketing,767
Directus,442
Dispatching,39952
Disposition Real Estate,246
Django,551
DNS Management,36992
Docker,609
Documentation,23630
DotCMS,436
Drafting,176
Drawing,24216
Dropshipping,140
Dropshipping,158
Drupal,426
Duda,564
E-Commerce,129
E-Commerce Management,190
E-learning,41055
Earthquake,169
Ebay,156
Ebay,346
eBook Writing,71
Ecommerce,344
EDI,13
Elasticsearch,646
Electrical Design,35035
Electron,590
Electron JS,492
Electronic Health Record,30025
Elementor,24010
Email Copywriting,25997
Email Handling,384
Email Management,788
Email Marketing,40
eMail Marketing,76
Email Support,340
EmailOctopus,50
Ember JS,478
Emotional Intelligence,24218
Employee Engagement,25996
Employment Verification,34513
Encoding,23636
English,24217
English Proficiency,25325
English Speaking,758
Enscape,22341
Entity Framework,27689
Error Detection,26828
Estimate,24009
Etabs,31483
Ethers.js,486
Etsy,161
Events Management,196
Evoq Content,451
Executive Assistance,38287
Express JS,473
ExpressionEngine,392
External Audit,30474
ez Publish,402
Facebook Ads,101
Facebook marketing,95
Falcon,557
FastAPI,39092
FBA,135
Feed Analysis,131
Figma,301
File Management,25808
Film Editing,306
Finance Management,186
Financial Accounting,9
Financial Analysis,760
Financial Forcasting,762
Financial Planning,761
Financial Reporting,24572
Firebase,648
Firewalls,656
FirstSpirit,456
Fission,335
Fitness,226
FL Studio,338
Flask,552
Flexibility,23638
Flight Booking,365
Flm Scoring,309
Flodesk,31484
Flutter,620
FlutterFlow,37407
Fomantic-UI,529
Font & Typographic Design,281
Food Service,366
Forecasting,25809
Forex Trading,33168
Forum Community Moderation,354
Foundation,504
Fraud detection,23639
Freedomsoft,247
Freight Forwarding,37408
Freshdesk,25
Freshworks CRM,39
FTP and SFTP,670
FuelPHP,397
Fulfillment,160
Fullstack,592
Functional Testing,23637
Funnel Design,32360
Funnelish,31338
g,506
GA4,65
Game Development,627
Game Testing,39094
Garageband,326
Gatsby,487
GDS,24219
General Ledger,31340
Genesys Cloud,31339
Geodetic and Soil,173
German Language,40883
Ghost Writing,85
GIS,23640
Git,596
Git,608
GitHub,34027
Godaddy Website Builder,565
GoHighLevel,24220
Gohighlevel Real Estate,248
GoLang,25326
Google Ads,98
Google Analytics,62
Google Analytics,116
Google Cloud,733
Google Data Studio,63
Google Docs,380
Google Drive,39093
Google Forms,383
Google Search Central,779
Google Search Console,778
Google Sheets,381
Google Sites,566
Google Slides,382
Google Suite,23641
Google Tag Manager,61
Google Workspace,23642
Gorgias,23643
Gradle,623
Grafana,659
Grapes JS,488
GraphCMS,444
Graphic Design,280
GraphQL,631
Grav CMS,424
Guide Writing,86
Gutenberg,545
HAML,494
Headless CMS,433
Health And Wellness,227
Health Education,37469
Healthcare,352
HelioScope,34028
Helium10,25327
Helpdesk Support,37410
HelpScout,38634
HIPAA Compliance,37409
HiQ,537
Home Insurance,359
Homeschool,228
Hootsuite,211
HostAway,39095
Hotel Booking,364
Houdini,32502
HR Management,221
HTML,549
HubSpot CRM,28
Human Resources,214
Ibexa,464
IBM Cloud,741
ICD-10,40884
Icinga,664
Identity & Security,739
Illustration,24221
Illustrator,278
Inbound Sales,52
Indesign,275
Influencer Content Creation,83
Influencer Marketing,55
Infographics,88
Information Architecture,291
Ingeniux CMS,455
Insightly,23
Instagram marketing,96
Instructional Design,25568
Insurance,356
Insurance Verification,32361
Integration,749
Intellectual Property Rights,37484
Interaction Design,294
Internal Auditing,24573
Internet of Things,750
Internet of Things - FleetWise,694
Internet of Things - Greengrrass,697
Internet of Things - IoT Core,693
Internet of Things - SiteWise,695
Internet of Things - TwinMaker,696
Interpersonal,24223
inuitcss,515
Inventory Management,149
Inventory Management,199
Investing,249
Investment Accounting,764
Investment Research,798
Invision,304
Invoicing,24222
Ionic,621
iOS Development,795
ISA Real Estate,250
IT,350
IT Asset Management,31341
Japanese Speaking,26964
Java,584
Java,626
Javascript,466
Javascript,582
Jenkins,611
Jetpack Compose,624
Jimdo,567
Jira,212
Joomla,427
Jotform,31783
Journalism,24224
jQuery,476
JSON,34514
JungleScout,30026
Kajabi,24225
Kartra,25328
Keap,24
Keepa,137
Keyword Management,138
Keyword Research,126
Kindle Direct Publishing (KDP),136
Klaviyo,24574
Kontent.ai,446
Korean Bilingual,35663
Kotlin,625
Kubernetes,610
Labor Relations,32362
Laminas,404
Landing Page Design,25572
Laravel,408
LaTeX,38635
Lead Generation,251
Lead Generation,368
Leadership,24227
Legal Research,25569
Legal Services,183
Legal Writing,27857
LESS,500
Less Annoying CRM,36
Life Coaching,229
Liferay,458
Lifestyle,230
Lightroom,22334
Lightspeed,669
Link Building,127
LinkedIn Marketing,773
Linux Administrator,14704
Liquid,493
Listicles,87
Listing Coordination,252
Listing Management,139
Listing Management,159
Livewire,24226
Loan Processing,29578
Local SEO,119
Logging and monitoring,751
Logical Reasoning,35036
Logistics Coordination,37411
Logistics Management,141
Logo Design,279
Looker Studio,41023
Lumion,24228
Machine Learning,738
Machine Learning,742
Magento,164
Magento,428
Magnolia CMS,462
Mail - Exim,671
Mail - Postfix,673
Mail - Sendmail,672
Mailchimp,47
MailerLite,41
Mailjet,48
Make.com,39096
Management,253
Management and Developer Tools,740
Management Services,184
Manual Testing,36993
MariaDB,644
Market Research,24233
Marketing,14
Marketing Analytics,60
Marketing Automation,56
Marketing Management,200
Material Components Web,539
Materialize,505
MatLAB,26829
Maui,586
Media Buying,771
Medical Billing,25998
Medical Coding,26328
Medical Insurance,357
Medical Knowledge,27690
Medical Scribing,24231
Medical Services,182
Medical Virtual Assistant,55058
Meeting Management,31485
Merb,412
Merchandising,24234
Mercurial,597
Meta Business Suite,28246
Meta Pixel,66
Meteor,475
Microblog Content Writing,78
Microblogging,93
Microsoft 365,24575
Microsoft Ads,102
Microsoft Dynamics 365,33
Microsoft Excel,377
Microsoft Outlook,24241
Microsoft Power Point,378
Microsoft Word,379
Microstation,40534
Midjourney,26965
Milligram,523
minireset.css,513
Minitab,30475
Mobile Development,614
Mobile Marketing,770
Mobile Service,367
modern-css-reset,514
modern-normalize,512
MODX,394
Mojo,255
Monday,203
MongoDB,640
Moosend,49
Mortgage,351
Mortgages,264
Motion Graphics,311
Movavi Video Editor Plus,319
Movie Editing,307
Mssql,647
MUI,538
Mulesoft,34518
Multitasking,39097
Mura,437
Music Production,24230
MVP.css,519
MYOB,24229
MySQL,638
Nagios,662
Natural Selection,517
Navisworks,26830
Negotation,35037
Neos CMS,418
NES.css,542
Nest JS,480
Netlify CMS,457
Netsuite,34610
Netsuite Accounting Software,26329
NetSuite CRM,30
Network Administration,24236
Network Monitoring,32363
Network Security,37412
Network Troubleshooting,37782
Networking,735
Networking - Azure Private Link,732
Networking - Load Balancer,729
Networking - Network Watcher,731
Networking - Traffic Manager,730
New Relic,655
News Writing,74
Next JS,482
Nginx,666
Nimble,34
Nitro,413
Node JS,467
NoSQL,641
Note Taking,40071
Notion,24235
Nutrition Assessment,40717
Nutrition Counseling,30476
Nuxt JS,481
Objective-C,618
Ocenaudio,328
October,401
OctoberCMS,419
Odoo,35
Odoo Website Builder,568
Off-Page,120
Office and Administration,370
Omnisend,44
On-Page,121
Onboarding,25330
Online Arbitrage,24576
Online Bookkeeping,30027
Online Forum Posting,92
Onshape,33165
Ontraport,31342
Open Props,541
OpenCart,393
Opensearch,650
Operation Management,25329
Optimizely,465
Optimizepress,791
Oracle,643
Order Fulfillment,37413
Order Management,27858
Order processing,24243
Order Tracking,36994
Organization,24242
Outbound Calls,27691
Outbound Sales,53
OutSystems,34519
Packaging & Brand Idenity Design,282
Painting,26330
Pano2VR,37972
Paralegal,26831
Parametric modeling,179
Patent Drafting,36996
Patent Drafting,37485
Patient Care,25810
PatternFly,536
Payment Processing,24247
Paypal Api,635
Payroll,6
Payroll,220
Performance Marketing,15
Performance Tracking,110
Perl,34611
Personal Assistant,790
Phalcon,403
Phone Support,343
Photo Editing,256
Photo Editing,37969
Photo Retouching,36997
Photo Stitching,37970
Photography,24244
Photoshop,276
PHP,388
PHPixie,398
PHPUnit,400
Picnic CSS,524
Pico.css,530
Pinnacle Studio Ultimate,320
Pinterest Ads,104
Pipedrive,21
PipelineDeals,31
Planning,11
Planswift,24246
Playwright,27693
Podcast Content Creation,79
Podio,38
Poetry Writing,30607
Policy Writing,219
Post Scheduling,40885
PostgreSQL,639
Power Automate,24373
Power BI,24248
PowerApps,24249
Powershell,607
PPC,107
Prepress,35495
PrestaShop,391
Primavera,26332
Primer,527
Print Design,784
Prior Authorization,25999
Prismic,447
Private Blog Network,780
Problem Solving,24250
Process Improvement,24252
Process Mapping,24251
ProcessWire,395
Procreate,24253
Procurement,24254
Product Analysis,142
Product Commercial Editing,310
Product Design,288
Product Knowledge,32364
Product Listing,24255
Product Optimization,143
Product Research,144
Product Sourcing,145
Professional Services,165
Progress Sitefinity,463
Project Management,201
Prometheus,660
Prompt Engineering,40718
Proofreading,72
Property Management,197
Prospecting,786
Prototyping,296
PSD to HTML,793
Psychological Assessment,36995
Psychology,35866
Public Relation,24245
Public Speaking,27692
Pug,495
Purchasing,152
Pure,508
Pyramid,560
PyroCMS,421
Python,550
Python,591
QGIS,24256
Qlik Sense,40886
Qt,588
Quality Assurance,25331
Quality Control,153
Quantity Surveying,33166
Quantity Takeoff,36998
Quickbooks,7
Quintype,448
Quixote,559
R,603
RabbitMQ,32365
Ranking Management,128
React JS,472
React Native,617
Real Estate,232
Real Estate Marketing,57
Reaper,337
Records Management,31343
Records Retrieval,26001
Recruiting,215
Redis,645
Redux,484
Regression Testing,26333
Regulatory Compliance,38636
Reliability,39099
REO Asset Management,783
Research,24258
Research,33167
Research Writing,84
Resourcefulness,39098
ress,516
REST API,632
Revenue Cycle Management,26000
Revenue Management,39986
Revit,24257
Risk Analysis,39682
Risk Assessment,25332
Risk Management,37783
Robotic Process Automation,24577
Ruby,410
Ruby on Rails,411
SaaS,349
Sabre,24260
Safekeeping,154
Sage Intacct,35156
sakura,520
Sales,24376
Sales Management,198
Sales Support,361
Salesforce,20
sanitize.css,511
Sanity IO,441
SAP,24259
SAP Concur,34521
SAP ERP,24580
SAP S4HANA,30908
SASS,499
Scala,604
Scheduling,24375
Scientific Advertising,777
Scientific Research,24379
Scoro,17
Scriptwriting,75
Scrivito,449
Scrum,37416
SCSS,498
Search Engine Marketing,768
Security - Azure Active Directory,725
Security - Front Door,727
Security - Microsoft Defender for Cloud,726
Security - Microsoft Sentinel,728
Selenium,25334
Self-motivation,39101
Seller Amp SAS,25335
Seller Central,134
Seller Page Management,133
Semantic UI,509
Semrush,122
Sender,42
Sendinblue,43
SendPulse,45
SEO,117
SEO Analysis,123
Server,665
ServiceNow,26002
SharePoint,29579
Shipstation,34520
Shopify,162
Shopify,348
Shopify,431
Shopify,569
Short Term Rentals,261
Silverstripe CMS,422
Simpro,4
Simulation,180
Sinatra,414
Sitecore,450
Skeleton,507
Sketch,303
Sketchup,277
Skip Tracing,24578
Slim,399
Slim,496
Smartsheet,25573
Snapchat Ads,106
Snowflake,37415
Soap,633
Social Media Content Creation,77
Social Media Engagement,24377
Social Media Management,89
Social Media Marketing,765
Social Media Moderation,353
Social Media Video Editing,312
Software,580
Software Development Project Manager,781
Software QA Testing,797
SolarWinds,654
Solidworks,24581
Solodev,453
Songwriting,24378
Sop Writing,218
Sound Design,37000
Spanish Bilingual,27694
Spring Boot,25333
SQL,602
SQL Server,652
SQLite,642
Squarespace,570
STAAD,27859
Stable Diffusion,31845
Staffing,40887
Stakeholder Management,24374
Steel and Rigid Frames,171
Stenography,36999
Stock Trading,33606
Storage - Elastic Block Store,689
Storage - Elastic File System,690
Storage - S3 Glacier,692
Storage and Databases,736
Storyboarding,38637
Storytelling,28732
Stotage - S3,691
Strapi,452
Strapi,490
Strategic Planning,799
Strikingly,571
Stripe Api,636
Structural Engineering,172
Stylus,501
Success,231
Sugar CRM,19
Supabase,649
Supplier Sourcing,26832
Supply Chain Management,39987
Supply Management,168
Svelte,477
SVN,598
Swift,619
Swiftui,622
Symfony,406
System Analysis,32366
Systems Administration,14702
T-Shirt Design,785
Tableau,24380
Tachyons,540
Tacit,510
Tacit,521
Tactical Arbitrage,30608
TailwindCSS,503
Talent Acquisition,26334
Task Prioritization,39103
Tax Preparation,763
Teaching,24382
Team Collaboration,32369
Team Leadership,32370
Teamwork,32371
Tech-Savvy,39102
Technical Analysis,33169
Technical recruiting,217
Technical Support,342
Technical Writing,73
Technology Proficiency,32368
Tekla Structures,26834
Telemarketing,51
Template Creation,94
Terraform,613
Test Automation,27695
Threat Hunting,40888
Thumbnail & Social Media Design,285
Tibco Spotfire,37417
Ticket Booking,33605
Tiktok Ads,105
Timber Design,170
Time Management,24582
Time Managment,24383
Timekeeping,222
Title Escrow,257
Title Processing,258
Training and Development,27696
Transaction Coordinating,259
Transcription,375
Translation,376
Travel Management,38638
Travel Planning,789
Trello,206
Trend Monitoring,109
Trustee Sales Tracking,787
Tufte CSS,544
TuiCss,547
TurboGears,554
turretcss,534
Tutorial Teaching,782
Twinmotion,38083
Twistedwave,334
Twitter Ads,103
Typescript,489
Typing,24381
TYPO3,389
UA,64
Ucraft,572
UI UX Design,40889
UIkit,526
Uipath,24583
Umbraco,38360
Underwriting,32372
Unity,628
Unreal Engine,629
US recruiting,216
Usability Testing,293
User Experience Design,289
User Experience Research,290
User Interface,300
Vagrant,616
Vanilla Framework,535
VB.NET,25337
Version Control,595
ViciDial,38639
Video Content Creation,80
Video Editing,305
Video Marketing,759
Videography,28247
Virtual Assistant,38361
Virtual Tour Development,37971
Visual Basic,26003
Visual Creation,115
Visual Design,299
Visualization,181
Vite,469
Voice Acting,25336
Voice Over,24384
VPN,657
VPN - OpenVPN,674
Vray,25338
Vrbo,263
Vue 2,470
Vue 3,471
Vue JS,468
Warm Calling,260
Water.css,518
Wavepad,331
Wavosaur,336
Web Design & Page Layout,284
Web Development,40404
Web Programming,387
Web Scraping,39277
Web2Py,555
Web3.js,485
Webflow,432
Webflow,576
Webinar Writing,81
Weblium,573
Webnode,574
Webpack,587
Website Builder,561
Website Copywriting,25339
Weebly,575
Wholesale Sourcing,146
Windows Administrator,14705
Wireframing,295
Wix,430
Wix,577
Wondershare Filmora,323
Woocommerce,792
Wordpress,425
Wordpress,578
Work Ethics,31729
Workday,31486
WORKetc,22
Workflow,204
Workforce Management,30477
Writing,39104
Xactimate,31344
Xero,5
Xplan,40719
Yahoo Gemini,99
Yardi,30028
Yii,396
Youtube Ads,775
Youtube Marketing,772
Zabbix,661
Zapier,24385
ZBrush,31846
Zend,405
Zendesk,32
Zesty IO,440
Zoho CRM,26
Zustand,38887
Zyro,579
